Start,Stop
318,375
1872,3012
3121,4464
6030,6111
7348,7419
8065,10593
11487,11547
13814,14814
16219,17325
17790,19323
21652,23085
24950,25002
25348,25839
26412,26643
27750,27870
28153,28254
28867,28920
29042,29103
29350,29415
30321,30429
31604,31659
32197,32535
34654,35619
35802,35988
36916,37029
37930,37986
39385,40470
40705,41730
41800,43188
44234,44334
45325,46434
47405,47994
49585,49878
50514,50604
50966,51081
51775,52389
53820,53925
54235,54672
56214,56271
56542,56634
56812,57261
57548,58638
58897,60189
61723,61806
61938,62028
64144,64659
65009,65064
66160,70656
72062,72114
73703,73803
74239,75228
75522,75618
76010,76125
76262,76320
78686,78783
79300,79374
79536,79632
81658,82617
84451,84849
87284,87348
88888,94767
97286,97356
97733,98412
99052,99105
103318,103836
104134,105099
108074,108285
108503,108570
111302,111426
111835,111900
111966,112029
112851,112923
113528,113622
113815,113895
118001,118956
119060,119136
122104,122520
122795,122889
123760,124062
124495,126363
126648,126729
127673,127725
127866,127968
128634,128712
129694,130230
131398,131460
132237,132303
135798,135861
136391,136464
136655,136713
136780,136992
137323,138897
139960,140853
141052,141336
141376,141705
142480,142539
144097,144273
144397,144840
145409,145560
146849,147381
149616,149709
150232,151173
151402,151890
152833,152892
154059,154131
155805,155943
162898,162984
163116,163200
163439,164298
164365,164424
165565,165639
165761,165834
166141,166236
167086,167943
169510,172008
172116,172230
172450,172509
175486,175557
178646,178710
179720,179862
180052,180900
181007,182184
185880,187863
187957,189528
189625,190398
190466,190521
190696,191916
193417,193473
193559,193629
194455,194547
194725,194862
195793,196611
196782,197463
197512,198204
199227,199290
200971,201096
201217,202590
202782,202848
204788,204843
205819,207408
207739,209271
209470,211389
212346,212469
212824,213285
217860,217935
220762,220968
221166,221226
222597,222654
223490,223569
224027,224079
228195,228279
229720,229824
230374,230724
232993,233067
233365,233436
233491,233865
234916,234978
236268,236340
238198,238305
238436,238521
238663,238755
240164,240267
240557,240651
241382,241686
241800,242019
242414,242517
243027,243237
244219,244326
244457,244542
244684,244776
246185,246288
246578,246672
247403,247707
247821,248040
249112,249165
249541,250563
250789,250857
252336,252441
253184,253308
253465,253665
254288,254415
254707,255780
256494,256590
258739,258822
259175,259470
261349,261426
261565,261618
262657,263262
264432,264486
264654,264729
265768,265854
266303,266403
267010,267372
269067,269154
269540,269619
270855,271158
271324,272502
274492,274587
275569,275676
276212,276294
282755,282819
284365,286011
286219,287718
288955,289038
289558,289617
290202,290364
290593,291228
291447,291561
291662,291762
294739,294891
298232,298293
299302,299394
300277,300351
302172,304140
304234,304305
309032,309171
309626,310719
311830,313662
316351,316404
316728,318375
319009,319158
319421,319524
320542,321279
321495,322128
323557,323700
326149,326214
326618,326835
327941,328005
328759,328836
329923,330999
331607,332688
332989,333132
333922,333984
335620,336426
336541,337161
